['Spades', 'Ace', 11]
['Spades', 'King', 10]
['Spades', 'Queen', 10]
['Spades', 'Jack', 10]
['Spades', '10', 10]
['Spades', '9', 9]
['Spades', '8', 8]
['Spades', '7', 7]
['Spades', '6', 6]
['Spades', '5', 5]
['Spades', '4', 4]
['Spades', '3', 3]
['Spades', '2', 2]
['Clubs', 'Ace', 11]
['Clubs', 'King', 10]
['Clubs', 'Queen', 10]
['Clubs', 'Jack', 10]
['Clubs', '10', 10]
['Clubs', '9', 9]
['Clubs', '8', 8]
['Clubs', '7', 7]
['Clubs', '6', 6]
['Clubs', '5', 5]
['Clubs', '4', 4]
['Clubs', '3', 3]
['Clubs', '2', 2]
['Hearts', 'Ace', 11]
['Hearts', 'King', 10]
['Hearts', 'Queen', 10]
['Hearts', 'Jack', 10]
['Hearts', '10', 10]
['Hearts', '9', 9]
['Hearts', '8', 8]
['Hearts', '7', 7]
['Hearts', '6', 6]
['Hearts', '5', 5]
['Hearts', '4', 4]
['Hearts', '3', 3]
['Hearts', '2', 2]
['Diamonds', 'Ace', 11]
['Diamonds', 'King', 10]
['Diamonds', 'Queen', 10]
['Diamonds', 'Jack', 10]
['Diamonds', '10', 10]
['Diamonds', '9', 9]
['Diamonds', '8', 8]
['Diamonds', '7', 7]
['Diamonds', '6', 6]
['Diamonds', '5', 5]
['Diamonds', '4', 4]
['Diamonds', '3', 3]
['Diamonds', '2', 2]
['Spades', 'Ace', 11]
['Spades', 'King', 10]
['Spades', 'Queen', 10]
['Spades', 'Jack', 10]
['Spades', '10', 10]
['Spades', '9', 9]
['Spades', '8', 8]
['Spades', '7', 7]
['Spades', '6', 6]
['Spades', '5', 5]
['Spades', '4', 4]
['Spades', '3', 3]
['Spades', '2', 2]
['Clubs', 'Ace', 11]
['Clubs', 'King', 10]
['Clubs', 'Queen', 10]
['Clubs', 'Jack', 10]
['Clubs', '10', 10]
['Clubs', '9', 9]
['Clubs', '8', 8]
['Clubs', '7', 7]
['Clubs', '6', 6]
['Clubs', '5', 5]
['Clubs', '4', 4]
['Clubs', '3', 3]
['Clubs', '2', 2]
['Hearts', 'Ace', 11]
['Hearts', 'King', 10]
['Hearts', 'Queen', 10]
['Hearts', 'Jack', 10]
['Hearts', '10', 10]
['Hearts', '9', 9]
['Hearts', '8', 8]
['Hearts', '7', 7]
['Hearts', '6', 6]
['Hearts', '5', 5]
['Hearts', '4', 4]
['Hearts', '3', 3]
['Hearts', '2', 2]
['Diamonds', 'Ace', 11]
['Diamonds', 'King', 10]
['Diamonds', 'Queen', 10]
['Diamonds', 'Jack', 10]
['Diamonds', '10', 10]
['Diamonds', '9', 9]
['Diamonds', '8', 8]
['Diamonds', '7', 7]
['Diamonds', '6', 6]
['Diamonds', '5', 5]
['Diamonds', '4', 4]
['Diamonds', '3', 3]
['Diamonds', '2', 2]
['Spades', 'Ace', 11]
['Spades', 'King', 10]
['Spades', 'Queen', 10]
['Spades', 'Jack', 10]
['Spades', '10', 10]
['Spades', '9', 9]
['Spades', '8', 8]
['Spades', '7', 7]
['Spades', '6', 6]
['Spades', '5', 5]
['Spades', '4', 4]
['Spades', '3', 3]
['Spades', '2', 2]
['Clubs', 'Ace', 11]
['Clubs', 'King', 10]
['Clubs', 'Queen', 10]
['Clubs', 'Jack', 10]
['Clubs', '10', 10]
['Clubs', '9', 9]
['Clubs', '8', 8]
['Clubs', '7', 7]
['Clubs', '6', 6]
['Clubs', '5', 5]
['Clubs', '4', 4]
['Clubs', '3', 3]
['Clubs', '2', 2]
['Hearts', 'Ace', 11]
['Hearts', 'King', 10]
['Hearts', 'Queen', 10]
['Hearts', 'Jack', 10]
['Hearts', '10', 10]
['Hearts', '9', 9]
['Hearts', '8', 8]
['Hearts', '7', 7]
['Hearts', '6', 6]
['Hearts', '5', 5]
['Hearts', '4', 4]
['Hearts', '3', 3]
['Hearts', '2', 2]
['Diamonds', 'Ace', 11]
['Diamonds', 'King', 10]
['Diamonds', 'Queen', 10]
['Diamonds', 'Jack', 10]
['Diamonds', '10', 10]
['Diamonds', '9', 9]
['Diamonds', '8', 8]
['Diamonds', '7', 7]
['Diamonds', '6', 6]
['Diamonds', '5', 5]
['Diamonds', '4', 4]
['Diamonds', '3', 3]
['Diamonds', '2', 2]
['Spades', 'Ace', 11]
['Spades', 'King', 10]
['Spades', 'Queen', 10]
['Spades', 'Jack', 10]
['Spades', '10', 10]
['Spades', '9', 9]
['Spades', '8', 8]
['Spades', '7', 7]
['Spades', '6', 6]
['Spades', '5', 5]
['Spades', '4', 4]
['Spades', '3', 3]
['Spades', '2', 2]
['Clubs', 'Ace', 11]
['Clubs', 'King', 10]
['Clubs', 'Queen', 10]
['Clubs', 'Jack', 10]
['Clubs', '10', 10]
['Clubs', '9', 9]
['Clubs', '8', 8]
['Clubs', '7', 7]
['Clubs', '6', 6]
['Clubs', '5', 5]
['Clubs', '4', 4]
['Clubs', '3', 3]
['Clubs', '2', 2]
['Hearts', 'Ace', 11]
['Hearts', 'King', 10]
['Hearts', 'Queen', 10]
['Hearts', 'Jack', 10]
['Hearts', '10', 10]
['Hearts', '9', 9]
['Hearts', '8', 8]
['Hearts', '7', 7]
['Hearts', '6', 6]
['Hearts', '5', 5]
['Hearts', '4', 4]
['Hearts', '3', 3]
['Hearts', '2', 2]
['Diamonds', 'Ace', 11]
['Diamonds', 'King', 10]
['Diamonds', 'Queen', 10]
['Diamonds', 'Jack', 10]
['Diamonds', '10', 10]
['Diamonds', '9', 9]
['Diamonds', '8', 8]
['Diamonds', '7', 7]
['Diamonds', '6', 6]
['Diamonds', '5', 5]
['Diamonds', '4', 4]
['Diamonds', '3', 3]
['Diamonds', '2', 2]
['Spades', 'Ace', 11]
['Spades', 'King', 10]
['Spades', 'Queen', 10]
['Spades', 'Jack', 10]
['Spades', '10', 10]
['Spades', '9', 9]
['Spades', '8', 8]
['Spades', '7', 7]
['Spades', '6', 6]
['Spades', '5', 5]
['Spades', '4', 4]
['Spades', '3', 3]
['Spades', '2', 2]
['Clubs', 'Ace', 11]
['Clubs', 'King', 10]
['Clubs', 'Queen', 10]
['Clubs', 'Jack', 10]
['Clubs', '10', 10]
['Clubs', '9', 9]
['Clubs', '8', 8]
['Clubs', '7', 7]
['Clubs', '6', 6]
['Clubs', '5', 5]
['Clubs', '4', 4]
['Clubs', '3', 3]
['Clubs', '2', 2]
['Hearts', 'Ace', 11]
['Hearts', 'King', 10]
['Hearts', 'Queen', 10]
['Hearts', 'Jack', 10]
['Hearts', '10', 10]
['Hearts', '9', 9]
['Hearts', '8', 8]
['Hearts', '7', 7]
['Hearts', '6', 6]
['Hearts', '5', 5]
['Hearts', '4', 4]
['Hearts', '3', 3]
['Hearts', '2', 2]
['Diamonds', 'Ace', 11]
['Diamonds', 'King', 10]
['Diamonds', 'Queen', 10]
['Diamonds', 'Jack', 10]
['Diamonds', '10', 10]
['Diamonds', '9', 9]
['Diamonds', '8', 8]
['Diamonds', '7', 7]
['Diamonds', '6', 6]
['Diamonds', '5', 5]
['Diamonds', '4', 4]
['Diamonds', '3', 3]
['Diamonds', '2', 2]
